variant,trial_id,observed_rate,prior_mean,abs_error,coverage_95,interval_width
No Graph (EqualWeight),endurance_krd,0.1026615969581749,0.4955870204573273,0.3929254234991524,1,0.8124243170022964
No Graph (EqualWeight),endurance_vrd,0.0721062618595825,0.4962988512109346,0.42419258935135207,1,0.8055518642067909
No Graph (EqualWeight),forte_krd12,0.5569620253164557,0.4850069178820955,0.07195510743436018,1,0.8126503154635429
No Graph (EqualWeight),forte_krd_asct,0.5822784810126582,0.4844186825879778,0.0978597984246804,1,0.8126503154635429
No Graph (EqualWeight),gmmg_concept_isakrd,0.6767676767676768,0.4822535690177973,0.19451410774987948,1,0.8126503080129623
No Graph (EqualWeight),gmmghd7_isavrd,0.5,0.4863304472938602,0.013669552706139787,1,0.8126503154635429
No Graph (EqualWeight),gmmghd7_vrd,0.3606060606060606,0.4895778308557458,0.1289717702496852,1,0.8126503154635429
No Graph (EqualWeight),griffin_dvrd,0.6442307692307693,0.4830008135535716,0.16122995567719767,1,0.8126503154635429
No Graph (EqualWeight),griffin_vrd,0.3009708737864077,0.4909242848288742,0.1899534110424665,1,0.8126503154635429
No Graph (EqualWeight),ifm2009_vrd_asct,0.6285714285714286,0.483335189784916,0.14523623878651254,1,0.8126503154635429
No Graph (EqualWeight),ifm2009_vrd_noasct,0.4885714285714285,0.48659669240576636,0.0019747361656621276,1,0.8126503154635429
No Graph (EqualWeight),ifm201804_dakrd,0.62,0.4836155151671634,0.1363844848328366,1,0.812650166451931
No Graph (EqualWeight),iskia_isakrd,0.7880794701986755,0.4796407125764438,0.3084387576222317,1,0.8125337287783623
No Graph (EqualWeight),iskia_krd,0.6291390728476821,0.4833316006963977,0.14580747215128442,1,0.8126503154635429
No Graph (EqualWeight),maia_drd,0.3206521739130434,0.49050861447119176,0.16985644055814836,1,0.8126503154635429
No Graph (EqualWeight),maia_rd,0.1111111111111111,0.4953901767962222,0.3842790656851111,1,0.812581479549408
No Graph (EqualWeight),manhattan,0.7073170731707317,0.48167928450316255,0.22563778866756912,1,0.812497079372406
No Graph (EqualWeight),master,0.7073170731707317,0.4815304472938602,0.22578662587687148,1,0.8126502856612206
No Graph (EqualWeight),midas_isakrd,0.629582806573957,0.48331162827058805,0.146271178303369,1,0.8126503154635429
No Graph (EqualWeight),perseus_dvrd,0.7492957746478873,0.48052274141971024,0.2687730332281771,1,0.8126502707600594
No Graph (EqualWeight),perseus_vrd,0.480225988700565,0.48679111150584475,0.006565122805279766,1,0.8126503154635429
No Robustness (w0=0),advance_dakrd,0.5878378378378378,0.6234435499934061,0.03560571215556829,1,0.49738115817308426
No Robustness (w0=0),advance_krd,0.3309352517985611,0.5685677550807726,0.23763250328221153,1,0.5219234600663185
No Robustness (w0=0),alcyone_dvmp,0.28,0.17721517446266555,0.10278482553733448,1,0.6023856103420258
No Robustness (w0=0),alcyone_vmp,0.0702247191011236,0.30200632833322977,0.23178160923210617,0,0.38029656559228897
No Robustness (w0=0),benefit_isard,0.2592592592592592,0.4035443435656999,0.14428508430644071,1,0.59076027572155
No Robustness (w0=0),benefit_isavrd,0.5333333333333333,0.42711389901304897,0.10621943432028436,1,0.6297584623098373
No Robustness (w0=0),cassiopeia_dvtd,0.6390423572744015,0.5847380367293921,0.054304320545009443,1,0.48835451900959015
No Robustness (w0=0),cassiopeia_vtd,0.4391143911439114,0.5143724498342936,0.07525805869038227,1,0.497235544025898
No Robustness (w0=0),cepheus_dvrd,0.6091370558375635,0.4352501977693917,0.17388685806817178,1,0.6748013570904732
No Robustness (w0=0),cepheus_vrd,0.3888888888888889,0.3677958219419376,0.02109306694695129,1,0.6068008244037628
No Robustness (w0=0),derman_dakrd,0.6190476190476191,0.5647706432282829,0.054276975819336215,1,0.7238750234246254
No Robustness (w0=0),determination_vrd,0.3977591036414565,0.44168785982005193,0.04392875617859543,1,0.6240146532654762
No Robustness (w0=0),determination_vrd_asct,0.5452054794520548,0.47313408754773534,0.07207139190431944,1,0.5063793659210205
No Robustness (w0=0),elokrd,0.5777777777777777,0.4265934571960376,0.15118432058174014,1,0.7106896117329597
No Robustness (w0=0),endurance_krd,0.1026615969581749,0.4651369352765998,0.36247533831842493,1,0.6915706396102905
No Robustness (w0=0),endurance_vrd,0.0721062618595825,0.4143439138845145,0.34223765202493206,0,0.5906519293785095
No Robustness (w0=0),forte_krd12,0.5569620253164557,0.454292382190024,0.10266964312643168,1,0.6710708737373352
No Robustness (w0=0),forte_krd_asct,0.5822784810126582,0.516184003642076,0.06609447737058227,1,0.5298280194401741
No Robustness (w0=0),gmmg_concept_isakrd,0.6767676767676768,0.6445696541991559,0.03219802256852089,1,0.516465462744236
No Robustness (w0=0),gmmghd7_isavrd,0.5,0.5765411637829531,0.07654116378295306,1,0.5345132797956467
No Robustness (w0=0),gmmghd7_vrd,0.3606060606060606,0.504619355082223,0.1440132944761624,1,0.5038714706897736
No Robustness (w0=0),griffin_dvrd,0.6442307692307693,0.5971918366116123,0.047038932619156926,1,0.5091696605086327
No Robustness (w0=0),griffin_vrd,0.3009708737864077,0.5119674853718013,0.21099661158539357,0,0.4483593851327896
No Robustness (w0=0),ifm2009_vrd_asct,0.6285714285714286,0.4636498949552297,0.16492153361619888,1,0.5057485550642014
No Robustness (w0=0),ifm2009_vrd_noasct,0.4885714285714285,0.41859286817518543,0.06997856039624306,1,0.6261864528059959
