scenario,trial_id,observed_rate,prior_mean,abs_error,coverage_95,interval_width
+10 Adjacent,ifm2009_vrd_noasct,0.4885714285714285,0.4348089600107453,0.053762468560683174,1,0.8166147693991661
+10 Adjacent,ifm201804_dakrd,0.62,0.602491272939709,0.01750872706029094,1,0.756525807082653
+10 Adjacent,iskia_isakrd,0.7880794701986755,0.5645142890988497,0.22356518109982582,1,0.7600730285048485
+10 Adjacent,iskia_krd,0.6291390728476821,0.5073228763293491,0.12181619651833298,1,0.7756435200572014
+10 Adjacent,maia_drd,0.3206521739130434,0.43781712579200865,0.11716495187896525,1,0.7978624776005745
+10 Adjacent,maia_rd,0.1111111111111111,0.3880929005114,0.2769817894002889,1,0.8104042187333107
+10 Adjacent,manhattan,0.7073170731707317,0.5422537083422054,0.16506336482852624,1,0.8003572821617126
+10 Adjacent,master,0.7073170731707317,0.5839814555157019,0.12333561765502976,1,0.7565167844295502
+10 Adjacent,midas_isakrd,0.629582806573957,0.5554298874702182,0.07415291910373889,1,0.7961615547537804
+10 Adjacent,perseus_dvrd,0.7492957746478873,0.5577311865294344,0.1915645881184529,1,0.7597547546029091
+10 Adjacent,perseus_vrd,0.480225988700565,0.48830464987269007,0.008078661172125079,1,0.782079741358757
+10 Foreign,advance_dakrd,0.5878378378378378,0.5988536936884128,0.011015855850574963,1,0.7585796862840652
+10 Foreign,advance_krd,0.3309352517985611,0.5549091131777957,0.22397386137923458,1,0.7773764505982399
+10 Foreign,alcyone_dvmp,0.28,0.24151365322336266,0.03848634677663737,1,0.8321235850453377
+10 Foreign,alcyone_vmp,0.0702247191011236,0.3414465091757629,0.2712217900746393,0,0.7835157588124275
+10 Foreign,benefit_isard,0.2592592592592592,0.4227582330856455,0.16349897382638628,1,0.7984299957752228
+10 Foreign,benefit_isavrd,0.5333333333333333,0.4416327519624012,0.09170058137093212,1,0.8102274090051651
+10 Foreign,cassiopeia_dvtd,0.6390423572744015,0.5678582876711838,0.07118406960321766,1,0.7558679282665253
+10 Foreign,cassiopeia_vtd,0.4391143911439114,0.511509469336771,0.07239507819285962,1,0.7709342315793037
+10 Foreign,cepheus_dvrd,0.6091370558375635,0.448148306522035,0.16098874931552848,1,0.809209369122982
+10 Foreign,cepheus_vrd,0.3888888888888889,0.39413078834189214,0.00524189945300324,1,0.822807602584362
+10 Foreign,derman_dakrd,0.6190476190476191,0.5518683829655908,0.06717923608202825,1,0.8058528825640678
+10 Foreign,determination_vrd,0.3977591036414565,0.453303591447489,0.055544487806032494,1,0.8170914649963379
+10 Foreign,determination_vrd_asct,0.5452054794520548,0.4784857557939822,0.06671972365807255,1,0.7824252396821976
+10 Foreign,elokrd,0.5777777777777777,0.44121598173856796,0.13656179603920976,1,0.8147864565253258
+10 Foreign,endurance_krd,0.1026615969581749,0.4720816298511305,0.3694200328929556,1,0.8210489153862
+10 Foreign,endurance_vrd,0.0721062618595825,0.4314065376452567,0.35930027578567425,0,0.7969172820448875
+10 Foreign,forte_krd12,0.5569620253164557,0.4633973030550741,0.09356472226138157,1,0.8060175105929375
+10 Foreign,forte_krd_asct,0.5822784810126582,0.5129601630767373,0.06931831793592091,1,0.7759565263986588
+10 Foreign,gmmg_concept_isakrd,0.6767676767676768,0.6157714948541761,0.06099618191350065,1,0.7555626183748245
+10 Foreign,gmmghd7_isavrd,0.5,0.5612942252516137,0.061294225251613654,1,0.7642636597156525
+10 Foreign,gmmghd7_vrd,0.3606060606060606,0.5036991832490273,0.1430931226429667,1,0.781297393143177
+10 Foreign,griffin_dvrd,0.6442307692307693,0.5778313005898794,0.06639946864088986,1,0.7609627395868301
+10 Foreign,griffin_vrd,0.3009708737864077,0.5095835718693102,0.20861269808290256,1,0.7838420569896698
+10 Foreign,ifm2009_vrd_asct,0.6285714285714286,0.47089080677095463,0.15768062180047393,1,0.781296856701374
+10 Foreign,ifm2009_vrd_noasct,0.4885714285714285,0.4348091036437921,0.053762324927636385,1,0.8166146129369736
+10 Foreign,ifm201804_dakrd,0.62,0.6024914906733292,0.017508509326670807,1,0.7565247267484665
+10 Foreign,iskia_isakrd,0.7880794701986755,0.5645145624034026,0.22356490779527294,1,0.7600716277956963
+10 Foreign,iskia_krd,0.6291390728476821,0.5073230156063939,0.12181605724128819,1,0.7756429985165596
+10 Foreign,maia_drd,0.3206521739130434,0.4378176841888204,0.11716551027577699,1,0.7978613451123238
+10 Foreign,maia_rd,0.1111111111111111,0.38809349342174737,0.27698238231063627,1,0.8104029297828674
+10 Foreign,manhattan,0.7073170731707317,0.542254192339349,0.16506288083138265,1,0.8003565892577171
+10 Foreign,master,0.7073170731707317,0.5839816659315735,0.12333540723915815,1,0.7565156742930412
+10 Foreign,midas_isakrd,0.629582806573957,0.5554304464040101,0.07415236016994697,1,0.7961606308817863
+10 Foreign,perseus_dvrd,0.7492957746478873,0.5577313793094675,0.19156439533841985,1,0.7597536072134972
+10 Foreign,perseus_vrd,0.480225988700565,0.4883047417670723,0.008078753066507294,1,0.78207927942276
+10 Adj +10 For,advance_dakrd,0.5878378378378378,0.598853481813473,0.011015643975635148,1,0.758580707013607
+10 Adj +10 For,advance_krd,0.3309352517985611,0.5549089471955831,0.22397369539702205,1,0.7773769423365593
+10 Adj +10 For,alcyone_dvmp,0.28,0.24151374961080527,0.03848625038919476,1,0.8321240246295929
+10 Adj +10 For,alcyone_vmp,0.0702247191011236,0.34144563749473467,0.27122091839361107,0,0.7835251912474632
+10 Adj +10 For,benefit_isard,0.2592592592592592,0.4227576697182165,0.1634984104589573,1,0.7984312102198601
+10 Adj +10 For,benefit_isavrd,0.5333333333333333,0.44163234295182774,0.09170099038150559,1,0.8102280795574188
+10 Adj +10 For,cassiopeia_dvtd,0.6390423572744015,0.567857834451784,0.07118452282261756,1,0.755870595574379
+10 Adj +10 For,cassiopeia_vtd,0.4391143911439114,0.5115091201973694,0.072394729053458,1,0.7709363028407097
+10 Adj +10 For,cepheus_dvrd,0.6091370558375635,0.44814792416417326,0.16098913167339024,1,0.809210017323494
+10 Adj +10 For,cepheus_vrd,0.3888888888888889,0.3941305583327579,0.0052416694438690015,1,0.8228078037500381
+10 Adj +10 For,derman_dakrd,0.6190476190476191,0.551867921258639,0.06717969778898003,1,0.8058534264564514
+10 Adj +10 For,determination_vrd,0.3977591036414565,0.4533034350221141,0.05554433138065762,1,0.8170916140079498
+10 Adj +10 For,determination_vrd_asct,0.5452054794520548,0.4784856661398799,0.06671981331217486,1,0.7824257090687752
+10 Adj +10 For,elokrd,0.5777777777777777,0.44121467172694334,0.13656310605083438,1,0.814787968993187
+10 Adj +10 For,endurance_krd,0.1026615969581749,0.4720812443333399,0.36941964737516503,1,0.8210491761565208
+10 Adj +10 For,endurance_vrd,0.0721062618595825,0.4314062971370176,0.35930003527743515,0,0.7969177141785622
+10 Adj +10 For,forte_krd12,0.5569620253164557,0.4633970678574508,0.0935649574590049,1,0.8060178533196449
+10 Adj +10 For,forte_krd_asct,0.5822784810126582,0.5129600224882435,0.06931845852441476,1,0.7759570330381393
