trial_id,observed_rate,n,y,prior_mean,abs_error,coverage_95,interval_lower,interval_upper,interval_width,log_pred_score,ess,method
advance_krd,0.3309352517985611,139,46,0.5,0.1690647482014389,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-4.941642422609348,2.000000000000001,Uniform
advance_krd,0.3309352517985611,139,46,0.44105183092469846,0.11011657912613737,0,0.43092064186930656,0.4512072838842869,0.020286642014980316,-6.10126817217315,9203.000000002827,Pooled
advance_krd,0.3309352517985611,139,46,0.49025201592131123,0.15931676412275014,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-4.870792293852448,4.1862145997378954,EqualWeight
advance_krd,0.3309352517985611,139,46,0.47691841499915755,0.14598316320059646,1,0.10590869560837746,0.8837324790656567,0.7778237834572792,-4.464026848484418,5.572123136384059,rMAP
alcyone_dvmp,0.28,350,98,0.5,0.21999999999999997,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.860786223465993,2.000000000000001,Uniform
alcyone_dvmp,0.28,350,98,0.44561832740213525,0.16561832740213522,0,0.43535739555954933,0.45590217038989067,0.02054477483034134,-22.671388297323574,8992.000000002326,Pooled
alcyone_dvmp,0.28,350,98,0.4914556656980536,0.21145566569805357,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-6.017186668123109,4.233090560045799,EqualWeight
alcyone_dvmp,0.28,350,98,0.47826533894667245,0.19826533894667242,1,0.10674475505948067,0.8836446441709995,0.7768998891115189,-5.593867220256106,5.608323623376696,rMAP
alcyone_vmp,0.0702247191011236,356,25,0.5,0.4297752808988764,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.87773578177962,2.000000000000001,Uniform
alcyone_vmp,0.0702247191011236,356,25,0.45403961718228353,0.3838148980811599,0,0.443755928426981,0.4643426798284054,0.020586751401424408,-128.03378941612664,8986.00000000381,Pooled
alcyone_vmp,0.0702247191011236,356,25,0.4963426844726343,0.4261179653715107,0,0.07080565020442009,0.8752748109400272,0.8044691607356071,-6.02283636535102,4.5937858507226075,EqualWeight
alcyone_vmp,0.0702247191011236,356,25,0.486226144322056,0.4160014252209324,0,0.11288474127650261,0.8819915689527988,0.7691068276762962,-7.369627563259655,5.958650438444243,rMAP
benefit_isard,0.2592592592592592,135,35,0.5,0.2407407407407408,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-4.912654885735947,2.000000000000001,Uniform
benefit_isard,0.2592592592592592,135,35,0.44205495818399043,0.18279569892473124,0,0.43192334845662117,0.4522104077041149,0.020287059247493744,-12.08642103522834,9207.00000000468,Pooled
benefit_isard,0.2592592592592592,135,35,0.49191224205556056,0.23265298279630137,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-5.256956479517223,4.256331604780657,EqualWeight
benefit_isard,0.2592592592592592,135,35,0.4786306909251462,0.21937143166588702,1,0.10691813006997108,0.8836557306349277,0.7767376005649567,-4.747503612245462,5.614455561040044,rMAP
benefit_isavrd,0.5333333333333333,135,72,0.5,0.033333333333333326,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-4.912654885735947,2.000000000000001,Uniform
benefit_isavrd,0.5333333333333333,135,72,0.4380362767459542,0.09529705658737914,0,0.42791541293263435,0.4481826387345791,0.020267225801944733,-5.11574905904763,9206.999999998961,Pooled
benefit_isavrd,0.5333333333333333,135,72,0.48555758340377864,0.04777574992955469,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-4.395876469011474,4.129669372418105,EqualWeight
