method,trial_id,arm_idx,p_true,p_pred,p_lo,p_hi,se,ae,covered,crps,ci_width,theta_mean,theta_sd
BHM,ifm2009_vrd_noasct,24,0.4885714285714285,0.4681781621609618,0.1126984383749011,0.8541145408395646,0.0004158853148882686,0.02039326641046668,1,0.05478957427681269,0.7414161024646635,-0.15144027875817057,0.982406846659494
BHM,ifm201804_dakrd,25,0.62,0.46808833077286904,0.10604759890436673,0.8513252055718636,0.023077155247373245,0.15191166922713095,1,0.09435649229601158,0.7452776066674969,-0.1547039485082273,0.9838087471424131
BHM,iskia_isakrd,26,0.7880794701986755,0.46730294930440197,0.11560643663809007,0.8406847369028352,0.10289757635703432,0.32077652089427355,1,0.21168917233988777,0.7250783002647451,-0.1616953669702085,0.9572923322779721
BHM,iskia_krd,27,0.6291390728476821,0.46053051485741314,0.11107927543607851,0.8462283554106441,0.028428845827557895,0.16860855799026897,1,0.10170280678826124,0.7351490799745656,-0.19041132373241662,0.960926148614734
BHM,maia_drd,28,0.3206521739130434,0.4781487677564843,0.11612551811347538,0.8535897100490256,0.024805177072285783,0.1574965938434409,1,0.09355000133738935,0.7374641919355502,-0.11121650640406491,0.9927165468414886
BHM,maia_rd,29,0.1111111111111111,0.474917415170502,0.13611228233800984,0.8451708359361854,0.132355026873354,0.3638063040593909,0,0.25529947875074954,0.7090585535981755,-0.11489112031667076,0.891802861185504
BHM,manhattan,30,0.7073170731707317,0.4635821064783719,0.11082086040959724,0.8547365106694996,0.05940673398852573,0.24373496669235978,1,0.150420524355098,0.7439156502599024,-0.17442540723242025,0.9643819174291849
BHM,master,31,0.7073170731707317,0.467031228758163,0.11760522683477034,0.8513549487125482,0.05773728702506116,0.24028584441256867,1,0.14795729523592904,0.7337497218777779,-0.15615318532820072,0.9663760846584948
BHM,midas_isakrd,32,0.629582806573957,0.46229058490869585,0.10184045810277499,0.8606475889074569,0.027986687429698887,0.1672922216652612,1,0.10163804667698567,0.7588071308046819,-0.1830681332830991,0.9977195764950173
BHM,perseus_dvrd,33,0.7492957746478873,0.46264256667854464,0.10722086382973009,0.842948626613288,0.08217006163911522,0.2866532079693427,1,0.18239545463533452,0.7357277627835579,-0.18058419882134816,0.9709149083605156
BHM,perseus_vrd,34,0.480225988700565,0.46570205341886617,0.10870942379250044,0.8530467937744887,0.00021094469606697575,0.014523935281698819,1,0.05615860899694715,0.7443373699819882,-0.1665676829010799,0.9872369348836432
