trial_id,arm_idx,n_h,p_hat,ess_raw,ess_effective,rho,sigma_phi,sigma_eps,frac_structured,w_sum,top1_neighbor,top1_ess,top2_neighbor,top2_ess,top3_neighbor,top3_ess
gmmg_concept_isakrd,18,99.0,0.6767676767676768,250.38443901147983,122.6144456048836,0.45130342494480363,0.8944931278638251,0.9131047986269514,0.4897047360010335,22.85595238095238,midas_isakrd,14.312708700298575,endurance_krd,7.270532467053757,cassiopeia_dvtd,7.258279520764818
gmmghd7_isavrd,19,330.0,0.5,251.45482984027288,122.9423525826266,0.45305984023500073,0.9037037474666421,0.9239489391876332,0.4889242042426509,24.80428571428571,midas_isakrd,12.010042128255813,cassiopeia_dvtd,7.927032555163039,cassiopeia_vtd,7.28985332720658
gmmghd7_vrd,20,330.0,0.3606060606060606,256.6037778792848,126.81596174683193,0.4526791451480308,0.9097870759682292,0.9203854951024311,0.4942092544190464,25.711666666666666,midas_isakrd,9.559743936724768,endurance_vrd,8.712545433163234,cassiopeia_vtd,8.264030378134514
griffin_dvrd,21,104.0,0.6442307692307693,258.0823292040403,126.93288940663408,0.45397532559575676,0.9011964771486725,0.9160424976773326,0.491830997488715,25.26222222222222,midas_isakrd,10.567749186691085,cassiopeia_dvtd,8.723307055444842,endurance_vrd,7.225708340547617
griffin_vrd,22,103.0,0.3009708737864077,264.98038462915014,132.3459513685248,0.45101602426928633,0.9140824503521925,0.9150781464430859,0.4994556542505886,25.691666666666663,midas_isakrd,9.665483768664794,endurance_vrd,8.841519928608756,cassiopeia_vtd,8.355438389595392
ifm2009_vrd_asct,23,350.0,0.6285714285714286,255.83058526832082,126.66567129641214,0.45294996950392596,0.9072044854351232,0.9161108015028192,0.4951154341595332,25.694999999999997,midas_isakrd,9.583676115712542,endurance_vrd,8.723580203145564,cassiopeia_vtd,8.262552353194804
ifm2009_vrd_noasct,24,350.0,0.4885714285714285,257.5434541313261,126.1585170500841,0.4539218179411211,0.9053999893517838,0.9239638633092431,0.4898533238812336,25.639444444444443,midas_isakrd,10.30506505062105,endurance_vrd,9.184544407860086,cassiopeia_vtd,7.643592805338582
ifm201804_dakrd,25,50.0,0.62,250.184969895754,122.22557046547946,0.4542705254268705,0.8984527011952074,0.9192852223107332,0.48854082048337233,24.818730158730155,midas_isakrd,11.947170922403167,cassiopeia_dvtd,7.838914928858715,endurance_krd,7.187486987405904
iskia_isakrd,26,151.0,0.7880794701986755,250.68143110795666,126.88597981098619,0.45084036597530147,0.9009954396661405,0.8899551441077488,0.506164254967662,24.46095238095238,midas_isakrd,14.690705194326508,endurance_krd,7.603262551675678,cassiopeia_dvtd,7.597555693210147
iskia_krd,27,151.0,0.6291390728476821,253.06024752930193,124.66816582070557,0.45329404800506834,0.9035095847183852,0.9169044896800009,0.49264223455827527,25.18611111111111,midas_isakrd,11.459262950539097,endurance_krd,8.831132246634146,cassiopeia_vtd,7.379854647623403
maia_drd,28,368.0,0.3206521739130434,240.83187380853124,119.41996607195489,0.4441575643214347,0.9091214332220484,0.9166722124834431,0.49586445591042255,21.20333333333333,midas_isakrd,11.334460877167293,endurance_vrd,7.2282632379408405,endurance_krd,7.214547368419132
maia_rd,29,369.0,0.1111111111111111,247.9640071563652,129.7854288158137,0.44179339877179147,0.9018570316732676,0.8605856660744515,0.5234043049399967,20.96388888888889,midas_isakrd,11.124007081014872,endurance_vrd,9.065936585633391,endurance_krd,9.048733669911126
manhattan,30,41.0,0.7073170731707317,251.20602695880248,124.61133416092416,0.45138691297162714,0.9026799890109705,0.9098353187584527,0.49605232672765565,24.343730158730157,midas_isakrd,12.682254525188014,endurance_krd,8.217943339095294,cassiopeia_dvtd,7.160367283738957
master,31,123.0,0.7073170731707317,247.25424627938364,122.13313837590087,0.45389445841755555,0.8973734398624554,0.9082841663262162,0.4939576982548448,24.781507936507936,midas_isakrd,12.07103447697681,cassiopeia_dvtd,7.9194253226819,endurance_krd,7.271525818197586
midas_isakrd,32,791.0,0.629582806573957,227.76682013982173,112.02214996775814,0.4524211886866904,0.9017958478125557,0.9166568335753186,0.4918282210683271,24.44539682539682,endurance_krd,7.966030453629322,cassiopeia_dvtd,6.833904998056651,endurance_vrd,6.80252046261616
perseus_dvrd,33,355.0,0.7492957746478873,248.40739009951312,125.33358566063639,0.4514844852639765,0.9058185993865074,0.8976154402626527,0.5045485386341654,25.27444444444444,midas_isakrd,10.86451035646481,cassiopeia_dvtd,8.929143988916968,endurance_vrd,7.372266949918961
perseus_vrd,34,354.0,0.480225988700565,255.8299721499657,125.26102490607234,0.45420052507885705,0.9051575770904395,0.9241365818160593,0.4896260741202177,25.71833333333333,midas_isakrd,9.471346932737484,endurance_vrd,8.642632495165506,cassiopeia_vtd,8.18761457336796
