trial_id,arm_idx,n_h,p_hat,ess_elir,mu_pred,sigma2_pred,rho,sigma_phi,sigma_eps,frac_structured,w_sum
gmmg_concept_isakrd,18,99.0,0.6767676767676768,5.676651966334025,-0.048554204658633596,0.9074111964550139,0.45130342494480363,0.8944931278638251,0.9131047986269514,0.4897047360010335,22.85595238095238
gmmghd7_isavrd,19,330.0,0.5,5.61688974452822,-0.0650710686327825,0.9229813187167264,0.45305984023500073,0.9037037474666421,0.9239489391876332,0.4889242042426509,24.80428571428571
gmmghd7_vrd,20,330.0,0.3606060606060606,5.650106734352194,-0.10109325282819676,0.9150301507265023,0.4526791451480308,0.9097870759682292,0.9203854951024311,0.4942092544190464,25.711666666666666
griffin_dvrd,21,104.0,0.6442307692307693,5.679424916216046,-0.07467591573129645,0.9067320476198951,0.45397532559575676,0.9011964771486725,0.9160424976773326,0.491830997488715,25.26222222222222
griffin_vrd,22,103.0,0.3009708737864077,5.690344429312905,-0.09187464217753491,0.9062147100278504,0.45101602426928633,0.9140824503521925,0.9150781464430859,0.4994556542505886,25.691666666666663
ifm2009_vrd_asct,23,350.0,0.6285714285714286,5.708936049195974,-0.14376443919492568,0.9067993771707437,0.45294996950392596,0.9072044854351232,0.9161108015028192,0.4951154341595332,25.694999999999997
ifm2009_vrd_noasct,24,350.0,0.4885714285714285,5.654629251980548,-0.15247860563796545,0.9209879041878986,0.4539218179411211,0.9053999893517838,0.9239638633092431,0.4898533238812336,25.639444444444443
ifm201804_dakrd,25,50.0,0.62,5.648164433687969,-0.036221957716440226,0.9133769623471106,0.4542705254268705,0.8984527011952074,0.9192852223107332,0.48854082048337233,24.818730158730155
iskia_isakrd,26,151.0,0.7880794701986755,5.91278545002682,-0.08260045649590755,0.8621404539289222,0.45084036597530147,0.9009954396661405,0.8899551441077488,0.506164254967662,24.46095238095238
iskia_krd,27,151.0,0.6291390728476821,5.680706971865457,-0.10715352550052779,0.9089493105848093,0.45329404800506834,0.9035095847183852,0.9169044896800009,0.49264223455827527,25.18611111111111
maia_drd,28,368.0,0.3206521739130434,5.6186123059958835,-0.09532673964687766,0.9231580328361875,0.4441575643214347,0.9091214332220484,0.9166722124834431,0.49586445591042255,21.20333333333333
maia_rd,29,369.0,0.1111111111111111,6.122627042642584,-0.11874128170773722,0.823433880273859,0.44179339877179147,0.9018570316732676,0.8605856660744515,0.5234043049399967,20.96388888888889
manhattan,30,41.0,0.7073170731707317,5.7308760603631335,-0.09809989682356268,0.89842762180916,0.45138691297162714,0.9026799890109705,0.9098353187584527,0.49605232672765565,24.343730158730157
master,31,123.0,0.7073170731707317,5.7427283038823225,-0.052618294721811856,0.8932571296575054,0.45389445841755555,0.8973734398624554,0.9082841663262162,0.4939576982548448,24.781507936507936
midas_isakrd,32,791.0,0.629582806573957,5.672324932609019,-0.0852866552159849,0.9103228278047033,0.4524211886866904,0.9017958478125557,0.9166568335753186,0.4918282210683271,24.44539682539682
perseus_dvrd,33,355.0,0.7492957746478873,5.8394145475987065,-0.09437520932151068,0.8743204379166869,0.4514844852639765,0.9058185993865074,0.8976154402626527,0.5045485386341654,25.27444444444444
perseus_vrd,34,354.0,0.480225988700565,5.639268109140058,-0.1206722234205094,0.9210362635239417,0.45420052507885705,0.9051575770904395,0.9241365818160593,0.4896260741202177,25.71833333333333
